"poi_id","kommentar","gebuehren","oeffnungsz","standort","kreis","typ","coord"
"wc018","2 Multifunktions-WCs. Für RollstuhlfahrerInnen steht das Behinderten-WC im Restaurant Seerose ohne Konsumationszwang zur Verfügung.","Gebührenfrei","24h","Seestr. 495b, bei der Zufahrt zum Rest. Seerose","2","nicht rollstuhlgängig","(47.338274594995674, 8.5396540107489)"
"wc020","4 Multifunktions-WCs. ","Gebührenfrei","24h","Mythenquai 309 / unter der Fussgängerbrücke","2","nicht rollstuhlgängig","(47.35035051198479, 8.534665283762383)"
"wc024","1 Multifunktions-WC. ","Gebührenfrei","24 h","Zurlindenstr 22, Spielplatz beim Schulhaus","3","nicht rollstuhlgängig","(47.368556067524416, 8.52229376657438)"
"wc030","Multifunktions-WC.","Gebührenfrei","24 h","Schlossgasse 21 / Ecke Steinstrasse","3","nicht rollstuhlgängig","(47.36877209838568, 8.519113066574384)"
"wc034","Multifunktions-WC beim neu gestalteten Spielplatz.","Gebührenfrei.","24 h","Friesenbergstrasse 130 / Ecke Wasserschöpfi","3","nicht rollstuhlgängig","(47.36525580882584, 8.508349708903305)"
"wc041","Zurzeit geschlossen","Gebührenfrei","24 h","beim Zeughaus.","4","Pissoir","(47.389471106361945, 8.52893852051616)"
"wc042","Zurzeit geschlossen.","Gebührenfrei","24 h","Langstrasse 30 / Beim Kanzleischulhaus","4","Pissoir","(47.37567407453472, 8.52521579325312)"
"wc045","Zurzeit geschlossen.","Gebührenfrei","24 h","Zeughausstr. 56 / Einmündung Rotwandstr.","4","Pissoir","(47.37638501670657, 8.529712537739586)"
"wc047","Zwei WC-Automaten für Damen- und Herren.","Fr. 1.--.","24 h","Ausstellungsstrasse 15, bei der Einfahrt zum Busbahnhof.","5","nicht rollstuhlgängig","(47.38134019387342, 8.53746186657542)"
"wc004","Bediente Anlage.","Gebührenfrei","Ganzjährig 6.30-21.45 Uhr geöffnet. Im Winter nur bis 20.45 Uhr.","Ecke Bahnhofstrasse/Bürkliplatz 1","1","nicht rollstuhlgängig","(47.36669637166659, 8.540666266574211)"
"wc005","Pissoir","Gebührenfrei","24h","Bürkliplatz 5 / Fraumünsterstrasse","1","Pissoir","(47.36656503899887, 8.541044266574191)"
"wc010","Bediente Anlage: Damen- und Herren WC, Dusche, Wickeltisch, Hygieneartikel im Verkauf. Ein Behinderten-WC (mit Eurokey-Schliessung) findet sich bei der Credit Suisse an der Bärengasse (kein ZüriWC).","Gebühr Fr. 1.--..","06.30 - 20.45 Uhr.","Paradeplatz 11 / Im Tramwartehaus die Treppe runter","1","nicht rollstuhlgängig","(47.369890090058405, 8.539000837430184)"
"wc066","Kombiniertes Damen- und Herren-WC, Pissoir. ","Gebührenfrei","24 h. Geöffnet von März bis Oktober.","Bellerivestrasse 268, bei Kibag und Bildhauerin","8","nicht rollstuhlgängig","(47.34698522857193, 8.562778366572555)"
"wc011","Multifunktions-WC. Im Winter geschlossen. Bei der Walchebrücke findet sich ein ganzjährig geöffnetes, rollstuhlgängiges ZüriWC.","Gebührenfrei","Während der Öffnungszeiten des Parks von März bis Oktober.","Platzpromenade 9 / Im Park Seite Limmat","1","nicht rollstuhlgängig","(47.38146822282173, 8.540007424246294)"
